Stats of file: ..\data\lfw_20_20.txt
Images dir:  C:\Users\Pedro\Pictures\lfw\lfw\
              Alejandro_Toledo   20
                  Alvaro_Uribe   20
               Amelie_Mauresmo   20
                  Andre_Agassi   20
                Angelina_Jolie   20
                  Ariel_Sharon   20
         Arnold_Schwarzenegger   20
          Atal_Bihari_Vajpayee   20
                  Bill_Clinton   20
                  Carlos_Menem   20
                  Colin_Powell   20
                 David_Beckham   20
               Donald_Rumsfeld   20
              George_Robertson   20
                 George_W_Bush   20
             Gerhard_Schroeder   20
       Gloria_Macapagal_Arroyo   20
                    Gray_Davis   20
               Guillermo_Coria   20
                  Hamid_Karzai   20
                     Hans_Blix   20
                   Hugo_Chavez   20
                   Igor_Ivanov   20
                    Jack_Straw   20
                Jacques_Chirac   20
                 Jean_Chretien   20
              Jennifer_Aniston   20
             Jennifer_Capriati   20
                Jennifer_Lopez   20
             Jeremy_Greenstock   20
                   Jiang_Zemin   20
                 John_Ashcroft   20
               John_Negroponte   20
              Jose_Maria_Aznar   20
           Juan_Carlos_Ferrero   20
             Junichiro_Koizumi   20
                    Kofi_Annan   20
                    Laura_Bush   20
             Lindsay_Davenport   20
                Lleyton_Hewitt   20
     Luiz_Inacio_Lula_da_Silva   20
                 Mahmoud_Abbas   20
         Megawati_Sukarnoputri   20
             Michael_Bloomberg   20
                   Naomi_Watts   20
               Nestor_Kirchner   20
                   Paul_Bremer   20
                  Pete_Sampras   20
          Recep_Tayyip_Erdogan   20
                 Ricardo_Lagos   20
                  Roh_Moo-hyun   20
              Rudolph_Giuliani   20
                Saddam_Hussein   20
               Serena_Williams   20
             Silvio_Berlusconi   20
                   Tiger_Woods   20
                   Tom_Daschle   20
                     Tom_Ridge   20
                    Tony_Blair   20
                   Vicente_Fox   20
                Vladimir_Putin   20
                  Winona_Ryder   20

Classes with 20 images: 62| >= 62
