Trainning 101 images.

Trained Eigenfaces model in 17 seconds
Trained LBPH model in 26 seconds

                    Class   Eigen           Conf    LBPH           Conf
          Aaron_Peirsol-1       9        15147.7      59        146.962
          Aaron_Peirsol-1       4        12363.9      45        111.435
           Aaron_Sorkin-2      35        10773.3      35        113.704
    Abdel_Nasser_Assidi-3       -        16918.8       -        70.1973
               Abdullah-4      25        8386.67      20        165.777
               Abdullah-4       -        14845.7      35        138.786
    Abdullah_al-Attiyah-5      66        13283.2      55        110.876
    Abdullah_al-Attiyah-5      66        13283.2      55        110.876
           Abel_Pacheco-6       4        17745.6      38        98.5671
           Abel_Pacheco-6       4        17745.6      38        98.5671
           Adam_Sandler-7      34          15782       9        143.846
           Adam_Sandler-7      36        13103.3      52        100.615
           Adam_Sandler-7      36        13103.3      52        100.615
             Adam_Scott-8      28        11023.4      40        180.158
  Adolfo_Aguilar_Zinser-9       4        13329.2      58        117.767
         Ahmed_Chalabi-10      43        15456.6       3        142.241
           Ai_Sugiyama-11      43        13724.6      15        174.472
        Aicha_El_Ouafi-12      38        16178.8      55        137.076
        Aicha_El_Ouafi-12      38        16178.8      55        137.076
Akbar_Hashemi_Rafsanjani-13      14        15053.3      58        88.5245
        Akhmed_Zakayev-14      19        13438.2      46         101.02
        Akhmed_Zakayev-14      19        13438.2      46         101.02
               Al_Gore-15      45        10555.2      40        342.732
             Alan_Ball-16       -        10362.3       -        199.328
      Alberto_Fujimori-17      31        15443.1      55         154.22
Alberto_Ruiz_Gallardon-18      35        12464.5      20        306.758
        Albrecht_Mentz-19       -        10821.9      38         134.03
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      25         9385.4      44        138.472
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      25         9385.4      44        138.472
      Alejandro_Toledo-21      43        14899.2       3         83.282
           Alex_Barros-22      23          16550      44         173.59
             Alex_Sink-23      45        11172.8      55         92.121
   Alexandra_Stevenson-24      29        14350.1      22        193.511
   Alexandra_Stevenson-24      26        12965.4      46        102.008
 Alexandra_Vodjanikova-25      36        15836.8      65        148.554
             Ali_Abbas-26      38        16088.8      58        107.091
          Ali_Khamenei-27       -        11734.1       -          80.92
          Alice_Fisher-28       -        7199.22      22        132.419
    Alicia_Silverstone-29      45        11338.5      36        110.541
Alimzhan_Tokhtakhounov-30       9        19825.3      18        146.279
         Alison_Lohman-31      45        13903.1       5        145.113
          Alvaro_Noboa-32       -              0       -              0
          Alvaro_Noboa-32       4        13779.6      61        110.419
 Alvaro_Silva_Calderon-33       1        14925.1       7        107.809
          Amanda_Beard-34      54          15535      20        108.748
         Amber_Tamblyn-35       -         7213.5       -        71.1869
           Amelia_Vega-36      48        15603.6      45        163.842
           Amelia_Vega-36      66        14775.5      45         104.18
           Amelia_Vega-36      66        14775.5      45         104.18
         Amer_al-Saadi-37      39        13881.8       3        92.0545
           Ana_Guevara-38      66        13453.6      55        117.177
           Ana_Guevara-38      39        12726.5       3         98.409
           Ana_Guevara-38      39        12726.5       3         98.409
           Ana_Guevara-38      39        12726.5       3         98.409
     Anastasia_Myskina-39       -              0       -              0
     Anastasia_Myskina-39      27        12508.4      58        252.404
 Anders_Fogh_Rasmussen-40      25        8356.42      23        89.4934
 Anders_Fogh_Rasmussen-40      36        14580.7       3        128.394
          Andre_Agassi-41      38        14196.8      45        188.818
      Andrew_Weissmann-42      11        13151.5      61        137.866
          Andy_Roddick-43      47          10467      55        138.986
          Andy_Roddick-43      62        13239.3      20        139.958
          Andy_Roddick-43      47          10467      55        138.986
        Angela_Bassett-44      45        11005.9      52        114.895
        Angelina_Jolie-45      25        12507.5      52        131.091
        Angelina_Jolie-45       -              0       -              0
        Angelina_Jolie-45      25        12507.5      52        131.091
        Angelina_Jolie-45      63        13687.9      60        108.519
        Angelina_Jolie-45      63        13687.9      60        108.519
         Anibal_Ibarra-46      64        14142.2       -        84.5365
       Anna_Kournikova-47       4        14565.9      55         219.06
        Annette_Bening-48      49        13381.1      65        307.002
       Anthony_Hopkins-49       1        14596.2      54        104.308
      Antonio_Banderas-50      66        12427.6       3        110.005
      Antonio_Banderas-50      45        12021.6      26         121.89
          Antony_Leung-51      64        13189.1       5        161.443
         Anwar_Ibrahim-52      12          12563      55        137.182
Arantxa_Sanchez-Vicario-53       3        13051.9       3        94.2374
         Ari_Fleischer-54      10        15542.2      20        64.0214
         Ari_Fleischer-54       -              0       -              0
         Ari_Fleischer-54      14        13999.8      55        89.3761
         Ari_Fleischer-54      10        15542.2      20        64.0214
    Arianna_Huffington-55       -              0       -              0
    Arianna_Huffington-55       9        15061.4      14        141.574
         Arminio_Fraga-56      25        8338.04      40        227.079
         Arnold_Palmer-57      29        15119.9      38        160.326
         Arnold_Palmer-57      47        14288.6      22        139.965
        Arnoldo_Aleman-58       4        15020.9      22         144.42
        Arnoldo_Aleman-58       4        12464.4      55        145.315
          Aron_Ralston-59      26        14031.6       9         97.843
          Art_Hoffmann-60       4        13621.3      58        115.706
          Arturo_Gatti-61       -              0       -              0
          Arturo_Gatti-61      12        13223.8      46        74.1944
            Arye_Mekel-62      49        14748.9      64        120.436
        Asa_Hutchinson-63      49        14942.7      36        91.0449
  Atal_Bihari_Vajpayee-64      58        12059.5      58        102.098
  Atal_Bihari_Vajpayee-64      49        17569.2      58        163.173
    Augusto_Roa_Bastos-65       4        17772.9      66        154.939
             Azra_Akin-66       3        13161.7      14        140.835
Right predictions EigenFaces: 15
Right predictions LBPH: 13
