Trainning 101 images.

Trained Eigenfaces model in 17 seconds
Trained LBPH model in 30 seconds

                    Class   Eigen           Conf    LBPH           Conf
                        1      59        14993.7      10        141.348
                        1       4        13136.2      55        113.215
                        2      25        10508.5      45        70.9434
                        3      36        17956.3      54        61.9449
                        4      25        10556.8      10        136.074
                        4       -          14135      52        128.005
                        5      64        12595.8      45        103.201
                        5      64        12595.8      45        103.201
                        6      31        18031.6      46        96.1858
                        6      31        18031.6      46        96.1858
                        7      34        17137.9      54        147.513
                        7      23        12622.6      64        118.392
                        7      23        12622.6      64        118.392
                        8      66        11717.9      45        193.569
                        9      45        13355.2      31        113.771
                       10      49          13905      54        146.946
                       11      53        14934.5      15        212.364
                       12      52        18166.4      10        113.556
                       12      52        18166.4      10        113.556
                       13      54        14850.1      54        69.2069
                       14      33        12552.4      19        109.626
                       14      33        12552.4      19        109.626
                       15      45        11484.1      40        379.619
                       16       -        10791.1      45        180.472
                       17      31        16904.8      55        145.513
                       18      35        11839.4      59        259.918
                       19       -        12325.4      51        112.125
                       20       -              0       -              0
                       20      45        11127.6      33        153.305
                       20       -              0       -              0
                       20      45        11127.6      33        153.305
                       21      55        14892.5      54        78.3191
                       22      23          16458      45        182.684
                       23      28        12384.1      64        118.174
                       24      38        14842.6      23        189.389
                       24      26        13487.6      46        109.137
                       25       9        15518.7      45        114.573
                       26       -        16463.1      52        132.744
                       27       -        10562.3       -        85.0333
                       28       -         7182.5      45        119.716
                       29      45        10673.2      64         116.14
                       30       1        18675.3      10        98.7172
                       31      45        11643.7       5        164.852
                       32       -              0       -              0
                       32       4        14904.4      54        113.861
                       33      43        14770.9       4        99.9149
                       34      49        16572.3      46        127.444
                       35       -        6631.33       -        57.7205
                       36      48        12617.3      45        150.999
                       36      66        16300.7      45        63.9923
                       36      66        16300.7      45        63.9923
                       37      39        14384.1      58        88.8971
                       38      36        13184.4      52        110.958
                       38      39        13066.6       3        114.698
                       38      39        13066.6       3        114.698
                       38      39        13066.6       3        114.698
                       39       -              0       -              0
                       39      27        11461.6      10        178.295
                       40      25        11200.2      30         74.233
                       40      45        13688.8      58         128.59
                       41      64        16376.8      45        172.732
                       42      45        14109.7      51        113.265
                       43      47        11946.6      42        133.294
                       43      28        11268.1      23        131.612
                       43      47        11946.6      42        133.294
                       44      45        12586.2      52        106.511
                       45       -        13272.9      58        132.896
                       45       -              0       -              0
                       45       -        13272.9      58        132.896
                       45      54        14722.5       5        118.493
                       45      54        14722.5       5        118.493
                       46       4        14485.6      29         119.51
                       47       4        14489.1      45        212.181
                       48      49        13219.8      55        401.299
                       49       1        13518.3      51        118.078
                       50      66        12670.7      58        90.8428
                       50      45          13573      52        123.283
                       51      45        15405.9      46        158.608
                       52      12        13172.7      45        102.548
                       53       8        13171.2      58         86.981
                       54       -        12413.3       -        71.7928
                       54       -              0       -              0
                       54      14        14692.5       -        82.0167
                       54       -        12413.3       -        71.7928
                       55       -              0       -              0
                       55       9          16278      45        112.953
                       56      25        8179.79      40        217.159
                       57      53        15366.9      61         184.49
                       57      10        13671.9      10        115.944
                       58       -        15676.8      45         127.13
                       58      45        13881.8      45        147.702
                       59      26        14474.7      36        101.932
                       60       4        13194.4      58        100.654
                       61       -              0       -              0
                       61      28        13344.8      39        61.0214
                       62      49          11561      65        124.195
                       63       5        13211.4      52        81.3602
                       64      58        11927.2      58        82.7476
                       64      49          16405      42        96.8086
                       65       4        17890.8      45        141.701
                       66      45        11192.3      45         84.118
Right predictions EigenFaces: 20
Right predictions LBPH: 13
