Trainning 101 images.

Trained Eigenfaces model in 1 seconds
Trained LBPH model in 1 seconds

                    Class   Eigen           Conf    LBPH           Conf
          Aaron_Peirsol-1      64        1775.71       -        61.6479
          Aaron_Peirsol-1      28        1961.61       -        66.7282
           Aaron_Sorkin-2      14        2296.31       6        62.0631
    Abdel_Nasser_Assidi-3      38        2306.36      36        57.6909
               Abdullah-4      52        2024.32      66         65.754
               Abdullah-4      45        2353.03       6        61.4422
    Abdullah_al-Attiyah-5      52        1793.78      61        56.1569
    Abdullah_al-Attiyah-5      52        1793.78      61        56.1569
           Abel_Pacheco-6      57        2289.24      22        58.4104
           Abel_Pacheco-6      57        2289.24      22        58.4104
           Adam_Sandler-7      30         2082.3      60        76.1977
           Adam_Sandler-7      39        1734.34      46        63.8722
           Adam_Sandler-7      39        1734.34      46        63.8722
             Adam_Scott-8      27        1971.17       6        79.1561
  Adolfo_Aguilar_Zinser-9      64        1727.73      46        59.9875
         Ahmed_Chalabi-10      14        2023.95      14        52.9832
           Ai_Sugiyama-11      54        2267.75      39        65.6008
        Aicha_El_Ouafi-12      65        1730.37      55        51.3753
        Aicha_El_Ouafi-12      65        1730.37      55        51.3753
Akbar_Hashemi_Rafsanjani-13      54        1929.27      39        53.3841
        Akhmed_Zakayev-14       -        2153.23       2        65.3318
        Akhmed_Zakayev-14       -        2153.23       2        65.3318
               Al_Gore-15      60        2620.67       6        63.4967
             Alan_Ball-16       -        1764.17      48        58.8274
      Alberto_Fujimori-17      54        1884.83      14        60.9348
Alberto_Ruiz_Gallardon-18       6        2074.59      27        68.2379
        Albrecht_Mentz-19      34        2098.95      21        62.5193
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      18        1754.71       1        66.2014
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      18        1754.71       1        66.2014
      Alejandro_Toledo-21      40        2373.22      45        63.2504
           Alex_Barros-22      23         1875.8       2        59.5045
             Alex_Sink-23      45        2332.34       -        70.7472
   Alexandra_Stevenson-24      37        2440.93      28        72.9884
   Alexandra_Stevenson-24      38        1976.65      14        57.5338
 Alexandra_Vodjanikova-25      39        2094.75      38        83.4581
             Ali_Abbas-26      45        2367.75      36        63.9109
          Ali_Khamenei-27       -        2290.62      45        59.0072
          Alice_Fisher-28       -        876.367       -        48.5356
    Alicia_Silverstone-29      58        1627.96       1        68.5996
Alimzhan_Tokhtakhounov-30       -        1660.37       -        52.3551
         Alison_Lohman-31      18        2022.01      34        96.8741
          Alvaro_Noboa-32       -              0       -              0
          Alvaro_Noboa-32      58        2177.37      12        75.2743
 Alvaro_Silva_Calderon-33      20        1585.69       6        51.8274
          Amanda_Beard-34       -        1721.73      45        60.9647
         Amber_Tamblyn-35      45        2922.47       -        65.3561
           Amelia_Vega-36      45        1846.32      25        55.1724
           Amelia_Vega-36       -        2273.07      25        70.7358
           Amelia_Vega-36       -        2273.07      25        70.7358
         Amer_al-Saadi-37      18        1501.98      54        54.3965
           Ana_Guevara-38      25         1987.8      46         62.648
           Ana_Guevara-38      22         2309.3      22        71.0079
           Ana_Guevara-38      22         2309.3      22        71.0079
           Ana_Guevara-38      22         2309.3      22        71.0079
     Anastasia_Myskina-39       -              0       -              0
     Anastasia_Myskina-39      64        1871.92       6        64.1647
 Anders_Fogh_Rasmussen-40       7         1759.9      66        53.7416
 Anders_Fogh_Rasmussen-40      26        1712.15      66         60.804
          Andre_Agassi-41      28         1953.8      38        64.4647
      Andrew_Weissmann-42      52        2132.96      45        67.6948
          Andy_Roddick-43       6        2723.19      61        67.7673
          Andy_Roddick-43       -         2537.2      61        60.2063
          Andy_Roddick-43       6        2723.19      61        67.7673
        Angela_Bassett-44      45        2002.92      36        60.8044
        Angelina_Jolie-45       -        3889.19      66        67.0326
        Angelina_Jolie-45       -              0       -              0
        Angelina_Jolie-45       -        3889.19      66        67.0326
        Angelina_Jolie-45      57         2330.5      56        73.8022
        Angelina_Jolie-45      57         2330.5      56        73.8022
         Anibal_Ibarra-46       6        2529.59      45        61.6045
