Loaded 400 images in 0 seconds
Trainning 320 images.

Trained Eigenfaces model in 41 seconds
Trained Fisherfaces model in 46 seconds
Trained LBPH model in 14 seconds

Testing 80 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12       -        1020.71       -        257.851       -        27.2954
                       12       -        1900.67       -        475.864       -         34.012
                       16       -        2355.07       -        657.595       -        43.4735
                       16       -        1618.81       -        716.428       -        31.3924
                       31       -        2766.39       -        745.583       -        42.9057
                       31       -        2766.32       -        986.368       -        39.1406
                        9       -        2115.29       -        440.841       -        38.3932
                        9       -        2831.44       -        862.073       -        59.3496
                       26       -        1589.23       -         406.09       -        31.5892
                       26       -        1602.59       -        394.657       -        30.0698
                        4       -        1580.68       -        592.792       -        37.1586
                        4       -        1157.45       -        326.762       -        30.9555
                       19       -        2158.72       -        721.114       -        32.0877
                       19       -        1856.09       -        629.307       -          34.55
                       29       -        1908.91       -         472.89       -        37.4186
                       29       -         1632.4       -         347.05       -        37.3091
                       38       -        1548.21       -        469.428       -        31.6094
                       38       -        2333.25       -        973.885       -        63.6316
                       34       -        2132.87       -        591.787       -        39.1528
                       34      39        3521.33      39        1013.22       -        64.7748
                       22       -        1137.13       -        315.321       -         30.634
                       22       -        1884.32       -        533.809       -        39.7917
                        3       -         1466.1       -        353.123       -         33.034
                        3       -        2272.92       -        687.985       -        39.0725
                        8       -         2286.8       -        766.443       -        45.0128
                        8       -        1636.18       -        360.906       -        37.9722
                       36       -        2661.76       -        1051.32       -        34.5298
                       36       -        1607.06       -        393.175       -        31.5739
                       23       -        1785.44       -        681.223       -         50.336
                       23       -        1876.06       -        332.947       -        35.8083
                       18       -        2559.13       -         797.97       -        37.4228
                       18       -        1433.78       -        364.989       -        30.8234
                        7       -        1616.04       -         411.55       -        30.5206
                        7       -         1471.3       -          509.9       -        34.6075
                       20       -        1720.01       -        755.095       -        39.7097
                       20       -        2328.11       -        555.467       -        42.8902
                        0       -         3338.2      23        1047.45       -        65.2001
                        0       -         3274.4      23         1040.3       -        46.6096
                        6       -        2100.93       -        784.414       -        31.9717
                        6       -        2160.57       -        371.545       -        32.2168
                       15       -        3405.07       0        1153.03       -        52.1827
                       15       -        3323.26       -        711.485       -        45.2658
                       35       -        2102.23       -        723.228       -        33.4563
                       35       -        2549.66       -        632.504       -        34.9172
                       24       -        2142.49       -        705.552       -        46.6094
                       24       -        1969.83       -        545.244       -        34.9071
                       13       -        2114.06       -        710.549       -        32.6155
                       13       -        2265.39       -        718.912       -        35.8704
                       33       -        1567.45       -        375.897       -         29.691
                       33       -        2051.46       -        503.845       -        34.3644
                       10       -         2732.5       -        1039.92       -        35.0641
                       10       -        2406.74       -        462.248       -        32.5485
                       25       -        1405.73       -        435.527       -        40.9973
                       25       -        2200.71       -        519.428       -        37.7962
                       17       -        1937.47       -        289.944       -        35.8318
                       17       -        1970.55       -        735.531       -         41.186
                       28       -        2569.51       -        699.573       -        51.6672
                       28       -        1837.64       -         420.23       -        40.9123
                       32       -        2884.07      22        1009.81       -         48.617
                       32       -        2563.72       -        625.189       -        42.7415
                       11       -        2617.25       -        770.021       -        38.7688
                       11       -        2804.09       -        635.973       -        41.8399
                        5       -         2002.6       -        475.562       -        48.1866
                        5       -        1561.24       -        476.443       -        34.6523
                       21       -        1911.71       -        540.184       -        33.6154
                       21       -        1776.93       -        318.691       -        34.0117
                       14       -        2881.93       -        949.492       -        41.2435
                       14       -         1346.5       -        365.307       -        33.7043
                        1       -         1545.2       -        290.315       -        31.6634
                        1       -        2171.48       -         540.45       -        34.6283
                       30       -        2287.04       -        910.075       -        41.4544
                       30       -        2301.99       -        945.347       -        43.6065
                       27      36        3191.49      12        1012.14      25        69.8154
                       27       -        1284.97       -        422.576       -        28.8982
                       39       -        2090.58       -          502.5       -         41.884
                       39       -        2702.19       -        724.563       -         45.744
                        2       -        1652.61       -        404.849       -        31.4382
                        2       -        2513.07       -         441.34       -        44.2737
                       37       -        2641.75       -        752.013       -        47.3446
                       37       -        1776.56       -        449.676       -        36.8542
Tested in 17 seconds

Right predictions EigenFaces: 78, 97.5%
Right predictions FisherFaces: 74, 92.5%
Right predictions LBPH: 79, 98.75%
