Library: ..\data\lfw_aligned_BW_10_10.txt
	Images Dir: C:\Users\Pedro\Pictures\lfw\lfw_aligned_BW\
	Total Images: 520,   80% as train images
	Per person MIN | MAX: 10 | 10
Loaded in: 0.105 seconds

-------------------------------------------------------------------------------

Trainned model EIGENFACES with 416 images in 398.375 seconds 

                             Image    Label    Pred           Conf
Abdullah_Gul  8 | 2
              Abdullah_Gul_0007.jpg      17     573        10852.8
              Abdullah_Gul_0006.jpg      17     562          13637
Adrien_Brody  8 | 2
              Adrien_Brody_0002.jpg      50    2173        13462.8
              Adrien_Brody_0005.jpg      50    2173        10509.9
Alejandro_Toledo  8 | 2
          Alejandro_Toledo_0007.jpg     121    1476        17483.4
          Alejandro_Toledo_0001.jpg     121     223        10293.4
Alvaro_Uribe  8 | 2
              Alvaro_Uribe_0006.jpg     204    1252        16553.7
              Alvaro_Uribe_0005.jpg     204    1476          15619
Amelie_Mauresmo  8 | 2
           Amelie_Mauresmo_0004.jpg     223       -        14782.5
           Amelie_Mauresmo_0007.jpg     223     562        14023.6
Andre_Agassi  8 | 2
              Andre_Agassi_0001.jpg     272    1207        18229.9
              Andre_Agassi_0007.jpg     272    1854        11986.1
Andy_Roddick  8 | 2
              Andy_Roddick_0009.jpg     290     562          13381
              Andy_Roddick_0010.jpg     290    1207          15759
Angelina_Jolie  8 | 2
            Angelina_Jolie_0003.jpg     302     121        17716.1
            Angelina_Jolie_0005.jpg     302     317        16336.8
Anna_Kournikova  8 | 2
           Anna_Kournikova_0007.jpg     317       -        12156.6
           Anna_Kournikova_0002.jpg     317    1207        14054.1
Ann_Veneman  8 | 2
               Ann_Veneman_0006.jpg     335       -        14642.1
               Ann_Veneman_0001.jpg     335     573        10207.4
Ariel_Sharon  8 | 2
              Ariel_Sharon_0005.jpg     370       -        11089.2
              Ariel_Sharon_0007.jpg     370       -        14155.8
Ari_Fleischer  8 | 2
             Ari_Fleischer_0001.jpg     374    2210        13421.8
             Ari_Fleischer_0008.jpg     374     417        14764.3
Arnold_Schwarzenegger  8 | 2
     Arnold_Schwarzenegger_0004.jpg     386     706        14305.8
     Arnold_Schwarzenegger_0007.jpg     386    1059        17263.3
Atal_Bihari_Vajpayee  8 | 2
      Atal_Bihari_Vajpayee_0005.jpg     417    1473        16968.5
      Atal_Bihari_Vajpayee_0010.jpg     417     544        14416.4
Bill_Clinton  8 | 2
              Bill_Clinton_0007.jpg     544    1932        12889.6
              Bill_Clinton_0002.jpg     544    1940        15132.1
Bill_Gates  8 | 2
                Bill_Gates_0007.jpg     551     302        9903.23
                Bill_Gates_0009.jpg     551     562        10223.2
Bill_McBride  8 | 2
              Bill_McBride_0010.jpg     562     551        12373.3
              Bill_McBride_0002.jpg     562     386        14115.5
Bill_Simon  8 | 2
                Bill_Simon_0005.jpg     573    1870        15771.6
                Bill_Simon_0007.jpg     573    2173        14567.6
Britney_Spears  8 | 2
            Britney_Spears_0010.jpg     706    2210        14772.6
            Britney_Spears_0002.jpg     706       -        7962.19
Carlos_Menem  8 | 2
              Carlos_Menem_0008.jpg     781     223        14802.5
              Carlos_Menem_0003.jpg     781    1964          16472
Carlos_Moya  8 | 2
