Library: ..\data\lfw_aligned_BW_10_10-v2.txt
	Images Dir: C:\Users\Pedro\Pictures\lfw\lfw_aligned_BW\
	Total Images: 520
	Total People: 52
	Images per person MIN | MAX: 10 | 10
	Percentage of trainned images per person: 80
Loaded in: 0.197 seconds

Trainned model FISHERFACES with 416 images in 267.08 seconds 

                             Image    Label    Pred           Conf
Abdullah_Gul  8 | 2
              Abdullah_Gul_0004.jpg       0       -        3011.04
              Abdullah_Gul_0009.jpg       0      13        2509.91
Adrien_Brody  8 | 2
              Adrien_Brody_0010.jpg       1       -        2698.02
              Adrien_Brody_0001.jpg       1      28        2241.32
Alejandro_Toledo  8 | 2
          Alejandro_Toledo_0009.jpg       2      13        2253.83
          Alejandro_Toledo_0001.jpg       2       -        2094.44
Alvaro_Uribe  8 | 2
              Alvaro_Uribe_0008.jpg       3      37        2608.35
              Alvaro_Uribe_0001.jpg       3      13        2445.74
Amelie_Mauresmo  8 | 2
           Amelie_Mauresmo_0004.jpg       4      13        2554.48
           Amelie_Mauresmo_0001.jpg       4      13        1956.32
Andre_Agassi  8 | 2
              Andre_Agassi_0006.jpg       5      13        2291.62
              Andre_Agassi_0003.jpg       5      28        2591.86
Andy_Roddick  8 | 2
              Andy_Roddick_0009.jpg       6       4        2784.47
              Andy_Roddick_0007.jpg       6      13        2559.33
Angelina_Jolie  8 | 2
            Angelina_Jolie_0004.jpg       7      37        1538.62
            Angelina_Jolie_0009.jpg       7      12        2002.06
Anna_Kournikova  8 | 2
           Anna_Kournikova_0005.jpg       8      13        2187.29
           Anna_Kournikova_0009.jpg       8      28        2924.57
Ann_Veneman  8 | 2
               Ann_Veneman_0007.jpg       9       -        2534.76
               Ann_Veneman_0004.jpg       9      37        2433.97
Ariel_Sharon  8 | 2
              Ariel_Sharon_0001.jpg      10      13        2237.35
              Ariel_Sharon_0002.jpg      10      13        2446.77
Ari_Fleischer  8 | 2
             Ari_Fleischer_0010.jpg      11      17        2691.64
             Ari_Fleischer_0001.jpg      11      12        2147.07
Arnold_Schwarzenegger  8 | 2
     Arnold_Schwarzenegger_0009.jpg      12      13        2209.91
     Arnold_Schwarzenegger_0010.jpg      12      13        2041.43
Atal_Bihari_Vajpayee  8 | 2
      Atal_Bihari_Vajpayee_0005.jpg      13       -        2729.92
      Atal_Bihari_Vajpayee_0010.jpg      13       -        2189.85
Bill_Clinton  8 | 2
              Bill_Clinton_0001.jpg      14      28        2211.96
              Bill_Clinton_0004.jpg      14      13        2576.24
Bill_Gates  8 | 2
                Bill_Gates_0006.jpg      15       9        2523.18
                Bill_Gates_0003.jpg      15      13        1935.71
Bill_McBride  8 | 2
              Bill_McBride_0001.jpg      16       5        2959.92
              Bill_McBride_0007.jpg      16      13        2004.97
Bill_Simon  8 | 2
                Bill_Simon_0010.jpg      17      26        2977.47
                Bill_Simon_0001.jpg      17       -        1948.66
Britney_Spears  8 | 2
            Britney_Spears_0009.jpg      18      12        2149.39
            Britney_Spears_0004.jpg      18      17        2174.67
Carlos_Menem  8 | 2
              Carlos_Menem_0006.jpg      19      28        1789.57
              Carlos_Menem_0009.jpg      19      28        1982.56
Carlos_Moya  8 | 2
               Carlos_Moya_0005.jpg      20      22        2599.51
               Carlos_Moya_0003.jpg      20      28        2162.03
