Library: ..\data\lfw_aligned_masked_10_10.txt
	Images Dir: C:\Users\Pedro\Dropbox\FEUP\PDIS\Visage\VisageFaceRec\Debug\lfw_alinned_masked\
	Total Images: 520,   80% as train images
	Per person MIN | MAX: 10 | 10
Loaded in: 0.097 seconds

-------------------------------------------------------------------------------
Trainned model EIGENFACES with 409 images in 113.202 seconds 

                             Image    Label    Pred           Conf
Abdullah_Gul  8 | 2
              Abdullah_Gul_0007.jpg      17    2210         2677.3
              Abdullah_Gul_0006.jpg      17    1891        2248.95
Adrien_Brody  8 | 2
              Adrien_Brody_0002.jpg      50    2186        2412.42
              Adrien_Brody_0005.jpg      50       -        1949.12
Alejandro_Toledo  8 | 2
          Alejandro_Toledo_0007.jpg     121    1854         2065.1
          Alejandro_Toledo_0001.jpg     121    2055        1866.15
Alvaro_Uribe  8 | 2
              Alvaro_Uribe_0006.jpg     204     875        2516.86
              Alvaro_Uribe_0005.jpg     204     831        2088.92
Amelie_Mauresmo  8 | 2
           Amelie_Mauresmo_0004.jpg     223       -        2925.96
           Amelie_Mauresmo_0007.jpg     223    1964        2462.71
Andre_Agassi  8 | 2
              Andre_Agassi_0001.jpg     272    1993        1968.16
              Andre_Agassi_0007.jpg     272    1993        2282.01
Andy_Roddick  8 | 2
              Andy_Roddick_0009.jpg     290    1993        3859.87
              Andy_Roddick_0010.jpg     29
Angelina_Jolie  8 | 2
            Angelina_Jolie_0003.jpg     302     370        2228.36
            Angelina_Jolie_0005.jpg     302    1207         1723.5
Anna_Kournikova  8 | 2
           Anna_Kournikova_0007.jpg     317    1347        3583.89
           Anna_Kournikova_0002.jpg     317       -        2185.26
Ann_Veneman  8 | 2
               Ann_Veneman_0006.jpg     335     121        3354.79
               Ann_Veneman_0001.jpg     335     562        2988.83
Ariel_Sharon  8 | 2
              Ariel_Sharon_0005.jpg     370    1476        2309.99
              Ariel_Sharon_0007.jpg     370    2210         2190.5
Ari_Fleischer  8 | 2
             Ari_Fleischer_0001.jpg     374     875         2558.6
             Ari_Fleischer_0008.jpg     374       -        1682.73
Arnold_Schwarzenegger  8 | 2
     Arnold_Schwarzenegger_0004.jpg     386     370        2812.27
     Arnold_Schwarzenegger_0007.jpg     386    2199        2102.57
Atal_Bihari_Vajpayee  8 | 2
      Atal_Bihari_Vajpayee_0005.jpg     417       -        1477.27
      Atal_Bihari_Vajpayee_0010.jpg     417       -        1421.66
Bill_Clinton  8 | 2
              Bill_Clinton_0007.jpg     544     374        1957.93
              Bill_Clinton_0002.jpg     544       -        1754.35
Bill_Gates  8 | 2
                Bill_Gates_0007.jpg     551       -        2588.36
                Bill_Gates_0009.jpg     551     544        2697.41
Bill_McBride  8 | 2
              Bill_McBride_0010.jpg     562    1207        2820.24
              Bill_McBride_0002.jpg     562    1854         2376.7
Bill_Simon  8 | 2
                Bill_Simon_0005.jpg     573    1940         2189.3
                Bill_Simon_0007.jpg     573       -        1770.23
Britney_Spears  8 | 2
            Britney_Spears_0010.jpg     706       -         1164.6
            Britney_Spears_0002.jpg     706       -        1990.91
Carlos_Menem  8 | 2
              Carlos_Menem_0008.jpg     781    1393         2905.2
