Library: ..\data\lfw_aligned_masked_10_30.txt
	Images Dir: C:\Users\Pedro\Dropbox\FEUP\PDIS\Visage\VisageFaceRec\Debug\lfw_alinned_masked\
	Total Images: 1022
	Total People: 52
	Images per person MIN | MAX: 10 | 30
	Percentage of trainned images per person: 80
Loaded in: 0.133 seconds

Trainned model EIGENFACES with 789 images in 528.693 seconds 

                             Image    Label    Pred           Conf
Abdullah_Gul  15 | 4
              Abdullah_Gul_0011.jpg      17     272        2630.87
              Abdullah_Gul_0015.jpg      17       -        2516.22
              Abdullah_Gul_0007.jpg      17     573        2739.65
              Abdullah_Gul_0010.jpg      17       -        1652.31
Adrien_Brody  9 | 3
              Adrien_Brody_0008.jpg      50    1932        1843.38
              Adrien_Brody_0004.jpg      50    2026        2737.14
              Adrien_Brody_0005.jpg      50    2026        1847.45
Alejandro_Toledo  24 | 6
          Alejandro_Toledo_0007.jpg     121    1854        2094.76
          Alejandro_Toledo_0009.jpg     121    2210        1921.55
          Alejandro_Toledo_0023.jpg     121    2210        3309.68

          Alejandro_Toledo_0013.jpg     121     370        2102.31
          Alejandro_Toledo_0010.jpg     121     374        2029.68
Alvaro_Uribe  24 | 6
              Alvaro_Uribe_0021.jpg     204       -        1431.91
              Alvaro_Uribe_0006.jpg     204    1207        2447.47
              Alvaro_Uribe_0007.jpg     204    1476        2227.71
              Alvaro_Uribe_0011.jpg     204    1207        1888.75
              Alvaro_Uribe_0002.jpg     204     370        1814.14
              Alvaro_Uribe_0015.jpg     204    1476        2564.06
Amelie_Mauresmo  16 | 5
           Amelie_Mauresmo_0011.jpg     223    1704        2340.75
           Amelie_Mauresmo_0020.jpg     223       -        2415.49
           Amelie_Mauresmo_0007.jpg     223    1252         2504.7
           Amelie_Mauresmo_0014.jpg     223       -        2629.55
           Amelie_Mauresmo_0017.jpg     223     290        2291.66
Andre_Agassi  24 | 6
              Andre_Agassi_0013.jpg     272     875        2420.42
              Andre_Agassi_0006.jpg     272     783        1730.06
              Andre_Agassi_0025.jpg     272     121         1816.3
              Andre_Agassi_0022.jpg     272    1932        2228.35
              Andre_Agassi_0030.jpg     272     204        2281.86
              Andre_Agassi_0024.jpg     272       -        2486.84
Andy_Roddick  12 | 3

              Andy_Roddick_0003.jpg     290     386        2978.97
              Andy_Roddick_0012.jpg     290       -        2524.99
Angelina_Jolie  16 | 4
            Angelina_Jolie_0002.jpg     302     831        1882.54
            Angelina_Jolie_0019.jpg     302     831        2134.52
            Angelina_Jolie_0001.jpg     302     544        2089.53
            Angelina_Jolie_0003.jpg     302    1047        2262.11
Anna_Kournikova  9 | 3
           Anna_Kournikova_0005.jpg     317       -        3158.33
           Anna_Kournikova_0012.jpg     317     706        2242.02
           Anna_Kournikova_0011.jpg     317    1854        3077.83
Ann_Veneman  8 | 3
               Ann_Veneman_0010.jpg     335    2026        3464.66
               Ann_Veneman_0008.jpg     335    2026        2508.57
               Ann_Veneman_0007.jpg     335     573        2195.72
