Library: ..\data\lfw_aligned_masked_10_50.txt
	Images Dir: C:\Users\Pedro\Dropbox\FEUP\PDIS\Visage\VisageFaceRec\Debug\lfw_alinned_masked\
	Total Images: 1178
	Total People: 51
	Images per person MIN | MAX: 10 | 50
	Percentage of trainned images per person: 80
Loaded in: 0.154 seconds

Trainned model EIGENFACES with 941 images in 733.415 seconds 

                             Image    Label    Pred           Conf
Abdullah_Gul  16 | 4
              Abdullah_Gul_0016.jpg      17       -              0
              Abdullah_Gul_0007.jpg      17     573        2748.99
              Abdullah_Gul_0018.jpg      17       -        3408.16
              Abdullah_Gul_0017.jpg      17       -        2800.91
Adrien_Brody  10 | 3
              Adrien_Brody_0003.jpg      50       -              0
              Adrien_Brody_0005.jpg      50    2026        1854.23
              Adrien_Brody_0009.jpg      50       -        2160.56
Alejandro_Toledo  32 | 8
          Alejandro_Toledo_0011.jpg     121       -              0
          Alejandro_Toledo_0010.jpg     121     374         2037.4
          Alejandro_Toledo_0014.jpg     121     204        1855.83
          Alejandro_Toledo_0030.jpg     121    1870        1673.79
          Alejandro_Toledo_0005.jpg     121     370        2698.55
          Alejandro_Toledo_0007.jpg     121    2199         2103.4
          Alejandro_Toledo_0004.jpg     121       -           1449
          Alejandro_Toledo_0022.jpg     121    1207        1766.21
Alvaro_Uribe  28 | 7
              Alvaro_Uribe_0028.jpg     204       -        2339.35
              Alvaro_Uribe_0004.jpg     204    1865        2375.32
              Alvaro_Uribe_0024.jpg     204    2043        3061.41
              Alvaro_Uribe_0007.jpg     204       -         2216.4
              Alvaro_Uribe_0009.jpg     204    1891        2008.87
              Alvaro_Uribe_0012.jpg     204     121        2852.73
              Alvaro_Uribe_0032.jpg     204    1870        2020.55
Amelie_Mauresmo  17 | 5
           Amelie_Mauresmo_0002.jpg     223       -              0
           Amelie_Mauresmo_0012.jpg     223    1207        2201.68
           Amelie_Mauresmo_0008.jpg     223       -        2627.05
           Amelie_Mauresmo_0015.jpg     223     370        2643.59
           Amelie_Mauresmo_0018.jpg     223     204        3376.66
Andre_Agassi  29 | 8
              Andre_Agassi_0002.jpg     272       -              0
              Andre_Agassi_0013.jpg     272     302        2551.19
              Andre_Agassi_0031.jpg     272    1207        3198.95
              Andre_Agassi_0025.jpg     272     121        1821.57
              Andre_Agassi_0032.jpg     272       -        2112.06
              Andre_Agassi_0017.jpg     272       -        1926.29
              Andre_Agassi_0028.jpg     272    2173        2491.21
              Andre_Agassi_0022.jpg     272    1993        2163.42
Andy_Roddick  12 | 3
              Andy_Roddick_0010.jpg     290              Andy_Roddick_0002.jpg     290     706        2999.15
              Andy_Roddick_0013.jpg     290     121        1735.19
Angelina_Jolie  16 | 4
            Angelina_Jolie_0010.jpg     302    1252        2665.61
            Angelina_Jolie_0006.jpg     302     706        1612.22
            Angelina_Jolie_0013.jpg     302       -        2168.25
            Angelina_Jolie_0002.jpg     302    1393        1974.69
Anna_Kournikova  10 | 3
           Anna_Kournikova_0005.jpg     317       -              0
           Anna_Kournikova_0007.jpg     317    1347        3755.61
           Anna_Kournikova_0010.jpg     317    1964        2001.82
Ann_Veneman  9 | 3
               Ann_Veneman_0008.jpg     335       -              0
               Ann_Veneman_0003.jpg     335    2026        3242.38
               Ann_Veneman_0007.jpg     335    1932        1966.25
Ariel_Sharon  40 | 10
              Ariel_Sharon_0013.jpg     370       -        2368.52
              Ariel_Sharon_0047.jpg     370       -        2346.69
              Ariel_Sharon_0031.jpg     370              Ariel_Sharon_0036.jpg     370    2173        2631.13
              Ariel_Sharon_0037.jpg     370       -        2238.77
              Ariel_Sharon_0027.jpg     370       -        1720.01
              Ariel_Sharon_0021.jpg     370     121         1925.4
              Ariel_Sharon_0006.jpg     370     121        1623.52
              Ariel_Sharon_0028.jpg     370    1047        2606.55
              Ariel_Sharon_0016.jpg     370       -        1947.14
Ari_Fleischer  11 | 3
             Ari_Fleischer_0005.jpg     374       -              0
             Ari_Fleischer_0007.jpg     374       -         1379.1
             Ari_Fleischer_0013.jpg     374     204        2322.31
Arnold_Schwarzenegger  34 | 9
     Arnold_Schwarzenegger_0009.jpg     386       -              0
