Trainning 200 images.

Trained Eigenfaces model in 15 seconds
Trained Fisherfaces model in 15 seconds
Trained LBPH model in 8 seconds

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12       -        937.538       -        611.537       -        30.6791
                       12       -        2367.49       -        1055.46       -        45.2344
                       12       -        1550.63       -        812.799       -        42.6461
                       12       -        1283.41       -        432.755       -        35.1242
                       12       -        1712.26       -        602.368       -         34.012
                       16       -        2398.22       -         926.02       -        35.2473
                       16       -        2145.92       -        789.377       -        35.6826
                       16       -        705.231       -        298.742       -        28.2891
                       16       -        2353.29       -        1093.48       -        40.3075
                       16       -        1482.82       -        738.679       -        31.3924
                       31       1        3587.14       -        1412.58       6        62.1707
                       31       -        2621.35       -        680.365       -        42.4124
                       31       -        2002.95       -        875.284       -        35.6969
                       31       -        1986.57       -        742.529       -        38.0046
                       31       -        2637.94       -        1015.64       -        39.1406
                        9       -        2524.03       -        837.281       -        53.2173
                        9       -        3515.42       4        1602.16       8        69.3406
                        9       -         1747.9       -        445.867       -        33.7032
                        9      37         3525.4       -        1425.92       8        56.8661
                        9       -        2709.95       -        1120.07       -        53.0561
                       26       -        2863.86       -        1274.52       -        35.9911
                       26       -        1379.89       -        515.905       -        33.0104
                       26       -         1603.7       -          483.7       -        31.3541
                       26       -        2723.01       -        886.214       -        38.5005
                       26       -        1459.92       -         561.84       -        30.0698
                        4       -        1213.03       -        358.858       -        34.2475
                        4       -        1600.49       -        676.122       -         34.291
                        4       -        1638.32       -        632.799       -        46.0374
                        4      39        2324.48       -        1024.18      39        47.9944
                        4       -        1093.45       -        405.794       -        30.9555
                       19       -        2383.76       -         607.47       -        31.0432
                       19       -        2018.38       -        681.821       -        31.8366
                       19       -        2126.06       -        747.866       -        35.1678
                       19       -        1607.39       -         762.75       -        35.5895
                       19       -        1644.56       -         880.86       -          34.55
                       29       -        1972.66       -        769.041       -        41.2802
                       29       -        1706.67       -         780.76       -        35.9369
                       29       -        2153.79       -        1061.64       -        44.4202
                       29       -         1836.7       -        804.873       -        38.7095
                       29       -        1752.68       -        720.169       -        37.3091
                       38       -        1467.41       -        776.808       -        32.1036
                       38       -        1895.87       -        834.905       -         43.351
                       38       -        1315.33       -        723.895       -        44.5941
                       38       -         2404.3       -        1115.17      29        52.3153
                       38       -        2178.42       -        870.992       -        63.6316
                       34       -        2388.73       -        1310.77       -        45.6445
                       34       -        2623.28       -        1431.82       -         54.165
                       34       -        2850.35       -        1097.88       -        52.4906
                       34       -        2616.23       -        1551.87       -        51.9256
                       34      39        3431.55       4        1475.31       -        64.7748
                       22       -        1937.89       -        846.985       -        65.2674
                       22       -        2114.09       -        841.195       -        46.2159
                       22       -        1395.46       -        641.071       -        47.7069
                       22       -        2826.21       -        1086.87       -        65.0528
                       22      37        2752.17      37        1038.66      37        52.2141
                        3       -        1522.94       -        693.323       -        33.6409
                        3       -        1846.34       -        704.048       -        32.2284
                        3       -        1370.22       -        493.555       -        33.1686
                        3       -        1954.46       -        956.255       -        45.0254
                        3       -        2025.82       -        837.606       -        35.3001
                        8       -        1643.88       -        793.937       -        34.9603
                        8       -        1967.83       -        670.815       -        44.4244
                        8       -        1997.35       -        660.389       -        37.9428
                        8       -        2431.15       -        912.933       -        46.5543
                        8       -        2290.59       -        740.522       -        37.9722
                       36      27        3193.23      27        1437.56      27        47.1137
                       36      27        2720.29      27        1216.94      27        44.4708
                       36      27        2721.35      27        1297.41      27        44.4368
                       36      27        2962.62      27        1464.61      27         45.813
                       36      27        2720.81      27        1389.87      27        44.1622
                       23       -        2176.72       -        441.932       -        40.0465
                       23       -         2381.3       -         822.19       -        41.5295
                       23       -        2745.05       -        1100.07       3         56.517
                       23       -        2570.52       -        944.071       -         39.022
                       23       -        1698.93       -        514.213       -        35.8083
                       18       -         2447.6       -        759.543       -        43.8134
                       18       7        3677.99       7        1261.16       -        51.5467
                       18       -         1820.2       -        469.598       -        32.6425
                       18       -         2027.1       -        674.125       -        33.4773
                       18       -        1177.36       -        523.907       -        30.8234
                        7       -        2102.86       -        620.814       -        49.5268
                        7       -        2418.52       -         806.81       -        60.0397
                        7       -         1708.3       -        520.251       -        30.0832
                        7       -        2387.63       -        689.968       -        47.7928
                        7       -        1325.42       -        644.206       -        34.6075
                       20       -        2236.69       -        759.805       -        38.4447
                       20       -        1838.56       -        521.258       -        36.7935
                       20       -        1741.37       -        791.978       -        36.3986
                       20       -        1782.24       -        446.771       -         38.489
                       20       -        2219.79       -        914.977       -        42.8902
                        0       -        3508.28       -        1163.78      10        53.9243
                        0       -        3011.27       -        1028.27       -          74.54
                        0       1        3998.89       -        1359.86       -        55.3488
                        0       -        3314.42      24        1373.25       -        66.3044
                        0      15        3457.31       -        1324.19      23        53.9624
                        6       -        2082.79       -        743.174       -         31.319
                        6       -        2209.23       -        751.364       -        36.0697
                        6       -        2242.11       -        626.338       -        35.3057
                        6       -         2556.3       -        818.194       -        38.0216
                        6       -        2227.14       -        501.841       -        35.2221
                       15       -        3275.03       -        1351.57       -        49.6631
                       15       -        3297.89       -        1403.93       -         45.729
                       15       -        2447.86       -        1067.88       -        44.5327
                       15       -        2482.36       -        1004.54      26        49.4315
                       15       -        3178.07       -        961.596       -        45.2658
