Trainning 363 images.

Trained Eigenfaces model in 242 seconds
Trained LBPH model in 95 seconds

                    Class   Eigen           Conf    LBPH           Conf
          Aaron_Peirsol-1       9        15764.2      59        146.962
          Aaron_Peirsol-1     154        12886.7      67        88.4847
           Aaron_Sorkin-2      90        9517.59     218        108.559
    Abdel_Nasser_Assidi-3     121          17859     147        60.5276
               Abdullah-4      25        9322.46     103        111.876
               Abdullah-4     249          13688     237        110.708
    Abdullah_al-Attiyah-5     175        13887.9      67        86.0663
    Abdullah_al-Attiyah-5     175        13887.9      67        86.0663
           Abel_Pacheco-6      90        15540.5     218        91.2089
           Abel_Pacheco-6      90        15540.5     218        91.2089
           Adam_Sandler-7     168        14865.1       9        143.846
           Adam_Sandler-7      36        14418.9     129        93.0587
           Adam_Sandler-7      36        14418.9     129        93.0587
             Adam_Scott-8      28        11657.1     202         144.91
  Adolfo_Aguilar_Zinser-9       4        14241.2     174        92.2653
         Ahmed_Chalabi-10     157        17075.3     174        129.433
           Ai_Sugiyama-11      43        14977.3     218        124.567
        Aicha_El_Ouafi-12     168        16894.2     147        103.643
        Aicha_El_Ouafi-12     168        16894.2     147        103.643
Akbar_Hashemi_Rafsanjani-13     208        11515.4     143        62.3267
        Akhmed_Zakayev-14     106        13370.2     195        88.5575
        Akhmed_Zakayev-14     106        13370.2     195        88.5575
               Al_Gore-15      45        11166.4     146        283.294
             Alan_Ball-16       -        12120.9     103        181.702
      Alberto_Fujimori-17     143        16995.1     174        123.503
Alberto_Ruiz_Gallardon-18      70        11442.5      70        187.767
        Albrecht_Mentz-19       -        11638.4     218        99.6373
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      25        10365.7     172        131.338
          Alec_Baldwin-20       -              0       -              0
          Alec_Baldwin-20      25        10365.7     172        131.338
      Alejandro_Toledo-21     245        14936.8       3         83.282
           Alex_Barros-22     249        17515.5      44         173.59
             Alex_Sink-23      90        11017.4     218        74.2137
   Alexandra_Stevenson-24      29        14770.7      22        193.511
   Alexandra_Stevenson-24     248        12675.7      46        102.008
 Alexandra_Vodjanikova-25     247        15988.3     171        138.171
             Ali_Abbas-26      38        16982.3     147        99.4878
          Ali_Khamenei-27       -        12447.1       -          80.92
          Alice_Fisher-28       -        7642.32      22        132.419
