Trainning 101 images.

Trained Eigenfaces model in 28 seconds
Trained LBPH model in 37 seconds

                    Class   Eigen           Conf    LBPH           Conf
                        1      59          13148      59        146.756
                        1       4        12834.7       3        113.551
                        2      25        10107.3      30         96.805
                        3       9          18072       -        73.0805
                        4      25        7337.03      30        151.111
                        4       -          13622      35        126.948
                        5      66        11427.6      35        115.224
                        5      66        11427.6      35        115.224
                        6      31        18675.5      46        101.443
                        6      31        18675.5      46        101.443
                        7       9        14532.3       9        151.715
                        7      36        11741.6      52        120.555
                        7      36        11741.6      52        120.555
                        8      28          11660       4        157.542
                        9       4        13033.9      61        105.333
                       10      49        18154.5      45        159.346
                       11      29        14921.4      15        182.676
                       12       9        13233.1      66         100.21
                       12       9        13233.1      66         100.21
                       13      14        14916.4       -         71.768
                       14      19        12173.9      46        95.0676
                       14      19        12173.9      46        95.0676
                       15      45        11634.3      40        365.874
                       16       -        9909.51       -        145.736
                       17      58        15681.5      55        146.205
                       18      35        11751.2      20        213.494
                       19       -        9374.35      46        133.012
                       20       -              0       -              0
                       20      45        9535.54      65        142.045
                       20       -              0       -              0
                       20      45        9535.54      65        142.045
                       21      45        14571.1       3        92.7655
                       22      23        15705.4      23        159.633
                       23      25        11938.5      36        108.638
                       24       4        14389.3      45        264.025
                       24      26        12287.4      46        116.877
                       25       9        10600.8       5        162.476
                       26       -          15107       9        101.159
                       27       -        8962.81       -        70.1087
                       28       -         4999.7      64        170.007
                       29      45        10778.6      61        116.584
                       30       1        17449.2      18        130.801
                       31      45        12036.6      36        173.221
                       32       -              0       -              0
                       32       4        14478.6       3         118.01
                       33      10        14520.2       4        106.358
                       34      54        15385.8      38        134.904
                       35       -        6584.67       -        52.3706
                       36      48        12991.5      45        195.979
                       36      66        14491.2      48        95.4191
                       36      66        14491.2      48        95.4191
                       37      28          13799      58        92.9628
                       38       9          13208      36        126.887
                       38      39        12306.9       3        118.095
                       38      39        12306.9       3        118.095
                       38      39        12306.9       3        118.095
                       39       -              0       -              0
                       39      27        11499.1      22        251.632
                       40      25        9151.82      30        68.6632
                       40      45        14218.9      45        128.779
                       41       9        15368.6      45        179.437
                       42      66        12235.2      58        156.902
                       43      47        12566.7      20        150.213
                       43      47        11721.8      20        112.466
                       43      47        12566.7      20        150.213
                       44      45        11536.9      52         124.32
                       45      35        11592.3       3        145.422
                       45       -              0       -              0
                       45      35        11592.3       3        145.422
                       45      14        15815.9      59        142.993
                       45      14        15815.9      59        142.993
                       46      20        13479.8       -        110.821
                       47      54        14552.2      62        258.582
                       48       4        13792.5      26        350.514
                       49       9        13982.9      55        111.947
                       50      66        11994.6       3        109.775
                       50      45        11018.9      52        147.462
                       51      45        14293.3      46         150.43
                       52      12        11745.3      32        113.344
                       53       3        13789.8      58        90.1396
                       54       -        15795.2       -        80.7684
                       54       -              0       -              0
                       54      65        15323.8      20         82.775
                       54       -        15795.2       -        80.7684
                       55       -              0       -              0
                       55       9        14036.6       9        175.536
                       56      25        8221.83       7        215.833
                       57      29        15262.1      46        160.741
                       57      10        11437.8      22        163.105
                       58      36        14599.9      45        177.926
                       58      55          12066       9        138.783
                       59      26        14266.9      36         97.154
                       60       4        13036.2      46        98.8089
                       61       -              0       -              0
                       61      47        13189.3      46        76.5347
                       62      49        12257.3      64        111.123
                       63       5        14983.7      55        99.7379
                       64      28        10756.1      58        93.3465
                       64      14        14801.6      42        124.251
                       65       4        17004.7      66         141.53
                       66      45        10839.9       -        115.839
Right predictions EigenFaces: 17
Right predictions LBPH: 17
