Loaded 400 images in 0 seconds
Trainning 200 images.

Trained Eigenfaces model in 18 seconds
Trained Fisherfaces model in 12 seconds
Trained LBPH model in 9 seconds

Testing 200 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       12       -        3280.31       4        1412.97      34        75.5766
                       12       -         3168.2       4        1406.75      34        62.6724
                       12       -        1292.15       -        472.023       -        35.1242
                       12       -        901.383       -        319.517       -        27.2954
                       12       -         1746.6       -        610.141       -         34.012
                       16       2        3170.99       -        1277.07      29        51.6728
                       16       2        3224.25       -        1288.84      37        49.3142
                       16       -        1821.81       -        642.612       -        34.4191
                       16       -        2247.18       -        973.905       -        47.1634
                       16       -        1518.85       -        766.358       -        31.3924
                       31       -        1977.64       -        994.511       -        35.6969
                       31       -         2789.5       4         1427.9       -        42.9537
                       31       -        2072.42       -        622.053       -         36.374
                       31       -        2635.18       -        963.156       -        42.9057
                       31       -        2630.03       -        968.087       -        39.1406
                        9       -        2612.06       -        651.694       -        46.0979
                        9       -        3121.15       -         1148.1       -        55.6939
                        9       3        3638.38       -        1298.19       3         56.337
                        9       -        2030.85       -        387.187       -        38.3932
                        9       -        2673.27       -        974.672       -        59.3496
                       26       -        1688.31       -        673.796       -        33.6022
                       26       -        1512.25       -        450.314       -        31.4181
                       26       -         2758.6       -        830.851       -        39.9478
                       26       -        1511.34       -        373.612       -        31.5892
                       26       -        1875.25       -        546.569       -        34.4703
                        4       -        1654.62       -        654.456       -        46.0374
                        4       -         1218.1       -        437.857       -        34.6436
                        4      39        2344.65       -        1036.48      39        47.9944
                        4       -        1443.89       -        750.604       -        37.1586
                        4       -        1489.95       -        510.445       -        34.5282
                       19       -        2170.99       -        777.865       -        35.1678
                       19       -        1099.91       -        477.259       -        31.4678
                       19       -        1657.39       -        776.434       -        35.5895
                       19       -        2013.68       -        900.533       -        32.0877
                       19       -        1666.49       -        763.917       -          34.55
                       29       -        2151.01      22        1290.75       -        44.4202
                       29       -        1554.18       -        526.332       -         38.534
                       29       -        1849.26       -        706.592       -        38.7095
                       29       -        1975.58       -        505.433       -        37.4186
                       29       -        1795.22       -        754.525       -        37.3091
                       38       -        2998.86      28        1374.41      22        79.8175
                       38      21         2986.1      28        1342.06      14         72.822
                       38       -        2385.61       -        1090.94      29        52.3153
                       38       -        1409.71       -        590.302       -        31.6094
                       38       -        2255.54       -        1183.71       -        63.6316
                       34       -        2875.29       -        1094.94       -        52.4906
                       34       -        2449.63       -        1006.41       -        49.3633
                       34       -        2625.21       -        1332.23       -        51.9256
                       34       -        2006.32       -        782.628       -        39.1528
                       34      39        3453.63       4        1390.78       -        71.1817
                       22       -        1427.15       -        534.536       -        47.7069
                       22       -        954.398       -        362.886       -        31.2732
                       22       -        2240.96       -        1008.05       -        61.2452
                       22       -        1047.02       -        376.624       -         30.634
                       22       -        2670.32       -        1009.18      37        52.2141
                        3       -        2865.97       -        881.536       -        48.5082
                        3       -         1539.5       -        378.115       -        33.5292
                        3       -        1953.88       -        894.508       -        45.0254
                        3       -        2750.56       -        830.392       -        51.7074
                        3       -        2734.34       -        864.902       -        46.8238
                        8       -        1998.35       -        662.698       -        37.9428
                        8       -        2028.86       -         795.29       -        38.7088
                        8       -        2401.37       -        942.469       -        46.5543
                        8       -        2543.38       -        898.387       -        46.8181
                        8       -        2081.27       -        622.933       -        37.9722
                       36       -        1612.63       -        954.663       -        35.2787
                       36       -        2366.64       -         1069.8       -        32.7613
                       36       -        1845.85       -        875.156       -        33.6763
                       36       -        2542.72       -        1298.73       -        34.5298
                       36       -        1397.71       -        711.162       -        33.5828
                       23       -        2485.52       -        877.436       3         56.517
                       23       -        2359.29       -        820.319       -        43.5513
                       23       -        1914.06       -        708.534       -        34.8877
                       23       -        1683.89       -         753.95       -         50.336
                       23       -         1776.9       -        479.897       -        35.8083
                       18       -         1860.6       -        612.379       -        32.6425
                       18       -        971.375       -        339.919       -        30.6381
                       18       -        2069.77       -        652.696       -        33.4773
                       18       -        2470.03       -         918.13       -        38.6846
                       18       -        1183.85       -        521.442       -        30.8234
                        7       -        1619.48       -        520.978       -        30.0832
                        7       -        2213.21       -        770.838       -        59.9509
                        7       -         2375.5       -        1011.42       -        52.3753
                        7       -        1415.62       -         610.14       -        30.5206
                        7       -        1376.07       -        572.822       -        34.6075
                       20       -        1722.17       -        836.838       -        36.3986
                       20       -        1599.77       -        687.866       -        37.7134
                       20       -        2081.57       -        637.788       -        35.9474
                       20       -        2249.31       -        1041.04       -        44.0966
                       20       -        2250.85       -        720.795       -        42.8902
                        0       -         3700.4      23        1450.46       -        54.7809
                        0       -        3037.26       -        836.164       -         57.606
                        0       -        3348.83      24        1444.58       -        66.3044
                        0       -        3232.68      23        1330.33       -        70.1676
                        0       -         3186.1      23        1207.47      23        53.9624
                        6       -        1790.19       -        534.402       -        34.8119
                        6       -        2210.83       -         746.52       -        36.4114
                        6       -        2538.25       -        937.808       -        38.0216
                        6       -        1962.62       -        997.553       -        31.9717
                        6       -        2099.84       -        510.515       -        34.1678
                       15       -        2362.49       -        940.323       -        44.5327
                       15       -        1704.59       -        638.601       -        30.0631
                       15       -        2468.55       -        974.918      26        49.4315
                       15       -        3293.31       4        1348.97       3        57.4942
                       15       -        3134.45       -        798.042       -        46.2341
                       35       -        2917.58       -        966.903       -        46.0779
                       35       6        3189.04       -        1207.85       -        47.9837
                       35       -        3063.78       -        1207.12       -         45.413
                       35       -        2860.46       -        1076.57       -        44.4895
                       35       -        2360.16       -        971.854       -        34.9172
                       24       -         1827.2       -        782.857       -         37.859
                       24       -        2256.49       -        1050.31       -        50.1249
                       24       -        1923.84       -        708.614       -          44.13
                       24       -        2049.39       -        1036.18       -        46.6094
                       24       -        1906.88       -        1000.37       -        34.9071
                       13       -        933.642       -        459.544       -        27.5827
                       13       -        1941.29       -        729.663       -        30.2142
                       13       -        3185.58       -        1350.92       -        41.4548
                       13       -        1929.35       -        705.032       -        32.6155
                       13       -        2481.54       -          785.3       -          36.93
                       33       -        763.645       -        237.223       -        29.2141
                       33       -        1768.05       -        626.559       -        32.7654
                       33       -        1295.89       -        410.179       -        30.3217
                       33       -        1418.44       -        480.971       -         29.691
                       33       -         1956.7       -        480.147       -        34.3644
                       10       -        2492.68       -        599.048       -        38.9903
                       10       -        1670.19       -        568.688       -        31.8255
                       10       -        2507.51       -        840.175       -        37.5627
                       10       -         2562.7       -        1123.72       -        35.0641
                       10       -        2595.41       -        676.697       -        39.2748
                       25       -        2474.85       -         1072.5       -        45.8542
                       25       -        2126.07       -         1077.7       -        42.3252
                       25       -        2496.08       -        955.406       -        46.1497
                       25       -        2626.21       -        1023.93       -        56.2988
                       25       -        2101.54       -        819.402       -        37.7962
                       17       -        2354.94       -        1032.27       -        45.9895
                       17       -        1719.95       -        798.246       -        36.8034
                       17       -        2202.75       -        903.231       -        34.3997
                       17       -        1763.63       -        654.494       -        35.8318
                       17       -        1863.43       -        824.364       -         41.186
                       28       -        2391.74       -        793.229       -        48.5943
                       28       -        1885.21       -        483.042       -        39.2209
                       28       -        2482.14       -        599.866       -        43.5087
                       28       -         2471.9       -        911.909       -        51.6672
                       28       -        1785.15       -        588.805       -        42.2034
                       32       -        2100.36       -        640.621       -        37.9745
                       32       -        1108.82       -        495.461       -        38.4194
                       32       -        646.299       -        271.606       -        32.4563
                       32       -        2779.82      22        1275.05       -        49.8965
                       32       -        2629.68       -        816.537       -        42.7415
                       11       -        2474.95       -        1047.16       -         45.569
                       11       -         2601.4       -        952.963       -        40.9463
                       11       -        1777.15       -         430.57       -        36.6458
                       11       -        2504.25       -        1159.78       -        38.7688
                       11       -        2703.68       -        988.082       -        43.2975
                        5       -        2058.11       -        716.753       -        36.0372
                        5       -        2125.05       -          760.8       -        42.5212
                        5       -        1703.03       -        470.377       -        34.3759
                        5       -        1879.54       -        683.206       -        48.1866
                        5       -        1567.22       -        621.789       -        34.6523
                       21       -        1923.23       -        620.488       -        33.8599
                       21       -        2309.94      28        1302.99       -         40.931
                       21       -         1855.7       -        874.988       -         39.648
                       21       -        1794.02       -        738.509       -         35.306
                       21       -        1643.81       -        491.996       -        34.0117
                       14       -        1806.74       -        913.527       -        35.5805
                       14       -           2264       -         1045.2       -         40.527
                       14       -        1596.36       -        538.411       -        36.8986
                       14       -        3251.37       -        1294.52       1        46.7456
                       14       -         1593.2       -        893.175       -        35.2624
                        1       -        2211.29       -        558.821       -         35.018
                        1       -        1185.61       -         436.31       -        32.2923
                        1       -        1823.38       -        729.345       -        28.7499
                        1       -        1899.89       -        438.638       -        33.3899
                        1       -        2247.93       -        730.046       -        37.6745
                       30       -        1846.13       -        766.424       -        38.4072
                       30       -        1986.44       -        864.829       -        32.1777
                       30       -        2146.83       -        967.884       -        38.2119
                       30       -         2183.8       -        1066.85       -        41.4544
                       30       -        2204.65       -        1050.83       -        43.6065
                       27       -        2236.43      25         1327.7       -        46.8608
                       27       -        3222.77      22         1521.8       -        47.9737
                       27       -        3329.32      28        1457.88       -        58.4527
                       27      36        3048.81       4        1341.25      38        71.1482
                       27       -        1188.65       -        564.085       -        28.8982
                       39       -        2033.37       -        949.962       -        50.0892
                       39       4        2049.61       4        963.106       4          52.26
                       39       4        2874.75       4         1078.9      22        56.1154
                       39       -        1948.55       -        772.612       -         41.884
                       39       -        2964.54       4        1182.33      20        56.0806
                        2       -        1699.53       -        567.904       -        37.0412
                        2       -        2389.02       -        895.587       -        49.6218
                        2       -        1597.66       -        721.187       -        33.9635
                        2       -        1567.84       -        580.036       -        31.4382
                        2       -        2467.23       -         611.93       -        44.2737
                       37       -        1987.44       -        659.335       -        45.4509
                       37       -        2338.56       -        977.201       -        42.7382
                       37       -        1516.64       -        748.124       -        33.2797
                       37       -         2540.5       -         1128.6       -        47.3446
                       37       -        1671.14       -         413.87       -        36.8542
Tested in 27 seconds

Right predictions EigenFaces: 190, 95%
Right predictions FisherFaces: 179, 89.5%
Right predictions LBPH: 181, 90.5%
