Source file: ..\etc\myCropped2.txt
Images path: C:\Users\Pedro\Dropbox\FEUP\PDIS\Visage\VisageFaceRec\Debug\croppedImages\

Loaded 313 images in 0 seconds
Trainning 150 images.

Trained FaceRecognizer.Eigenfaces in 13 seconds

Testing 163 different images.

                                       Class     Pred           Conf
       Abdullah_Gul\Abdullah_Gul_0009.jpg  17     562        3983.93
       Abdullah_Gul\Abdullah_Gul_0010.jpg  17       -        3048.49
       Abdullah_Gul\Abdullah_Gul_0011.jpg  17     573        4374.88
       Abdullah_Gul\Abdullah_Gul_0012.jpg  17     551        4130.89
       Abdullah_Gul\Abdullah_Gul_0013.jpg  17     562        4457.54
       Abdullah_Gul\Abdullah_Gul_0014.jpg  17     573        2702.56
       Abdullah_Gul\Abdullah_Gul_0015.jpg  17     562        3969.95
       Abdullah_Gul\Abdullah_Gul_0016.jpg  17     562        5747.35
       Abdullah_Gul\Abdullah_Gul_0017.jpg  17     562        4262.95
       Abdullah_Gul\Abdullah_Gul_0018.jpg  17       -        7574.12
       Abdullah_Gul\Abdullah_Gul_0019.jpg  17       -        4010.82
       Adrien_Brody\Adrien_Brody_0009.jpg  50     335        4807.36
       Adrien_Brody\Adrien_Brody_0010.jpg  50     562        4839.56
       Adrien_Brody\Adrien_Brody_0011.jpg  50     573        4423.98
       Adrien_Brody\Adrien_Brody_0012.jpg  50     551        5015.75
Alejandro_Toledo\Alejandro_Toledo_0009.jpg  121     562        3764.71
Alejandro_Toledo\Alejandro_Toledo_0010.jpg  121     417         3618.5
Alejandro_Toledo\Alejandro_Toledo_0011.jpg  121     386        4621.83
Alejandro_Toledo\Alejandro_Toledo_0012.jpg  121     551        3927.65
Alejandro_Toledo\Alejandro_Toledo_0013.jpg  121     386        4057.72
Alejandro_Toledo\Alejandro_Toledo_0014.jpg  121     562        3060.55
Alejandro_Toledo\Alejandro_Toledo_0015.jpg  121     204        4099.92
Alejandro_Toledo\Alejandro_Toledo_0016.jpg  121       -        3393.11
Alejandro_Toledo\Alejandro_Toledo_0017.jpg  121       -        3373.87
Alejandro_Toledo\Alejandro_Toledo_0018.jpg  121     386        4485.79
Alejandro_Toledo\Alejandro_Toledo_0019.jpg  121       -        2955.88
Alejandro_Toledo\Alejandro_Toledo_0020.jpg  121     562        5447.53
      Alvaro_Uribe\Alvaro_Uribe_0009.jpg  204     706         4619.3
      Alvaro_Uribe\Alvaro_Uribe_0010.jpg  204     121        3491.69
      Alvaro_Uribe\Alvaro_Uribe_0011.jpg  204     562         3284.6
      Alvaro_Uribe\Alvaro_Uribe_0012.jpg  204     223        4664.61
      Alvaro_Uribe\Alvaro_Uribe_0013.jpg  204     544        4868.76
      Alvaro_Uribe\Alvaro_Uribe_0014.jpg  204     562        4989.33
      Alvaro_Uribe\Alvaro_Uribe_0015.jpg  204     386        3650.83
      Alvaro_Uribe\Alvaro_Uribe_0016.jpg  204     121        3438.49
      Alvaro_Uribe\Alvaro_Uribe_0017.jpg  204       -        4161.41
      Alvaro_Uribe\Alvaro_Uribe_0018.jpg  204     302         6092.9
      Alvaro_Uribe\Alvaro_Uribe_0019.jpg  204     573        3810.28
      Alvaro_Uribe\Alvaro_Uribe_0020.jpg  204       -        3771.69
Amelie_Mauresmo\Amelie_Mauresmo_0009.jpg  223     374        4195.24
Amelie_Mauresmo\Amelie_Mauresmo_0010.jpg  223     573        4602.48
Amelie_Mauresmo\Amelie_Mauresmo_0011.jpg  223     562        3499.86
Amelie_Mauresmo\Amelie_Mauresmo_0012.jpg  223       -        3838.09
Amelie_Mauresmo\Amelie_Mauresmo_0013.jpg  223     121        3187.57
Amelie_Mauresmo\Amelie_Mauresmo_0014.jpg  223     706        3983.42
Amelie_Mauresmo\Amelie_Mauresmo_0015.jpg  223     121        3792.68
Amelie_Mauresmo\Amelie_Mauresmo_0016.jpg  223     386        4887.59
Amelie_Mauresmo\Amelie_Mauresmo_0017.jpg  223     204        4516.67
Amelie_Mauresmo\Amelie_Mauresmo_0018.jpg  223     706        5206.98
Amelie_Mauresmo\Amelie_Mauresmo_0019.jpg  223     573        3716.73
Amelie_Mauresmo\Amelie_Mauresmo_0020.jpg  223     386        3758.34
      Andre_Agassi\Andre_Agassi_0009.jpg  272       -        5604.91
      Andre_Agassi\Andre_Agassi_0010.jpg  272     370        4577.66
      Andre_Agassi\Andre_Agassi_0011.jpg  272     317        4238.16
      Andre_Agassi\Andre_Agassi_0012.jpg  272     706        4384.38
      Andre_Agassi\Andre_Agassi_0013.jpg  272     386         4620.7
      Andre_Agassi\Andre_Agassi_0014.jpg  272     317        3699.23
      Andre_Agassi\Andre_Agassi_0015.jpg  272     562        4735.45
      Andre_Agassi\Andre_Agassi_0016.jpg  272     370        4243.69
      Andre_Agassi\Andre_Agassi_0017.jpg  272     370        4428.34
      Andre_Agassi\Andre_Agassi_0018.jpg  272     562        4618.22
      Andre_Agassi\Andre_Agassi_0019.jpg  272     386        4233.89
      Andre_Agassi\Andre_Agassi_0020.jpg  272     562        4819.83
      Andy_Roddick\Andy_Roddick_0009.jpg  290     335        6966.91
      Andy_Roddick\Andy_Roddick_0011.jpg  290     562        4015.07
      Andy_Roddick\Andy_Roddick_0012.jpg  290       -        4693.86
      Andy_Roddick\Andy_Roddick_0013.jpg  290     121        3532.55
      Andy_Roddick\Andy_Roddick_0014.jpg  290     317        4326.88
      Andy_Roddick\Andy_Roddick_0015.jpg  290       -        5042.54
  Angelina_Jolie\Angelina_Jolie_0009.jpg  302     706        4088.14
  Angelina_Jolie\Angelina_Jolie_0010.jpg  302     417        4760.32
  Angelina_Jolie\Angelina_Jolie_0011.jpg  302     386        5996.89
  Angelina_Jolie\Angelina_Jolie_0012.jpg  302     386        3940.88
  Angelina_Jolie\Angelina_Jolie_0013.jpg  302     386        4481.46
  Angelina_Jolie\Angelina_Jolie_0014.jpg  302       -        4442.51
  Angelina_Jolie\Angelina_Jolie_0015.jpg  302       -        3792.32
  Angelina_Jolie\Angelina_Jolie_0016.jpg  302     317        3823.91
  Angelina_Jolie\Angelina_Jolie_0017.jpg  302     544        4552.03
  Angelina_Jolie\Angelina_Jolie_0018.jpg  302     370        4893.55
  Angelina_Jolie\Angelina_Jolie_0019.jpg  302     562        3906.45
  Angelina_Jolie\Angelina_Jolie_0020.jpg  302     706        4191.62
Anna_Kournikova\Anna_Kournikova_0009.jpg  317       -         5963.2
Anna_Kournikova\Anna_Kournikova_0010.jpg  317     544        3890.14
Anna_Kournikova\Anna_Kournikova_0011.jpg  317       -        5901.79
Anna_Kournikova\Anna_Kournikova_0012.jpg  317     370        3919.81
        Ann_Veneman\Ann_Veneman_0009.jpg  335       -        3001.85
        Ann_Veneman\Ann_Veneman_0010.jpg  335     562        4160.99
        Ann_Veneman\Ann_Veneman_0011.jpg  335     706        4742.33
      Ariel_Sharon\Ariel_Sharon_0009.jpg  370       -        3795.03
      Ariel_Sharon\Ariel_Sharon_0010.jpg  370     272        4638.37
      Ariel_Sharon\Ariel_Sharon_0011.jpg  370     386         3892.2
      Ariel_Sharon\Ariel_Sharon_0012.jpg  370     417        3998.09
      Ariel_Sharon\Ariel_Sharon_0013.jpg  370       -        3979.08
      Ariel_Sharon\Ariel_Sharon_0014.jpg  370       -        3494.77
      Ariel_Sharon\Ariel_Sharon_0015.jpg  370     317         3310.8
      Ariel_Sharon\Ariel_Sharon_0016.jpg  370     544        4196.21
      Ariel_Sharon\Ariel_Sharon_0017.jpg  370     417        4099.59
      Ariel_Sharon\Ariel_Sharon_0018.jpg  370     417        4153.45
      Ariel_Sharon\Ariel_Sharon_0019.jpg  370       -        3081.24
