Source file: ..\data\myMasked2.txt
Images path: C:\Users\Pedro\Dropbox\FEUP\PDIS\Visage\VisageFaceRec\Debug\maskedImages\

Loaded 311 images in 0 seconds
Trainning 150 images.

Trained FaceRecognizer.Eigenfaces in 12 seconds

Testing 161 different images.

                                       Class     Pred           Conf
                    Abdullah_Gul_0009.jpg  17       -         2004.7
                    Abdullah_Gul_0010.jpg  17       -        1446.35
                    Abdullah_Gul_0011.jpg  17     272        2571.55
                    Abdullah_Gul_0012.jpg  17       -           2712
                    Abdullah_Gul_0013.jpg  17       -        2420.81
                    Abdullah_Gul_0014.jpg  17     417        1587.21
                    Abdullah_Gul_0015.jpg  17     573        2345.85
                    Abdullah_Gul_0017.jpg  17       -        3186.62
                    Abdullah_Gul_0018.jpg  17       -        3000.38
                    Abdullah_Gul_0019.jpg  17       -        2546.07
                    Adrien_Brody_0009.jpg  50     302        2281.39
                    Adrien_Brody_0010.jpg  50     417        1979.15
                    Adrien_Brody_0011.jpg  50     417        1976.37
                    Adrien_Brody_0012.jpg  50     121        3138.58
               Alejandro_Toledo_0009.jpg  121     562         2096.3
               Alejandro_Toledo_0010.jpg  121     573        1962.03
               Alejandro_Toledo_0011.jpg  121     223         2699.4
               Alejandro_Toledo_0012.jpg  121     302        2256.49
               Alejandro_Toledo_0013.jpg  121     417         2318.8
               Alejandro_Toledo_0014.jpg  121     544        1971.04
               Alejandro_Toledo_0015.jpg  121     370        2402.54
               Alejandro_Toledo_0016.jpg  121       -        2447.09
               Alejandro_Toledo_0017.jpg  121     417        1769.63
               Alejandro_Toledo_0019.jpg  121       -           1359
               Alejandro_Toledo_0020.jpg  121     544        2111.38
                   Alvaro_Uribe_0009.jpg  204     370        1975.25
                   Alvaro_Uribe_0010.jpg  204       -        1273.78
                   Alvaro_Uribe_0011.jpg  204     370        1847.77
                   Alvaro_Uribe_0012.jpg  204     223        2748.21
                   Alvaro_Uribe_0013.jpg  204     544        2507.84
                   Alvaro_Uribe_0014.jpg  204     544         2345.6
                   Alvaro_Uribe_0015.jpg  204     544        2416.94
                   Alvaro_Uribe_0016.jpg  204     544        1943.32
                   Alvaro_Uribe_0017.jpg  204       -        1996.02
                   Alvaro_Uribe_0018.jpg  204     290        3068.58
                   Alvaro_Uribe_0019.jpg  204       -        1681.51
                   Alvaro_Uribe_0020.jpg  204     386         2221.5
                Amelie_Mauresmo_0009.jpg  223     374        2771.27
                Amelie_Mauresmo_0010.jpg  223     417        2658.36
                Amelie_Mauresmo_0011.jpg  223     374         2177.1
                Amelie_Mauresmo_0012.jpg  223     302        2180.43
                Amelie_Mauresmo_0013.jpg  223     544        1949.36
                Amelie_Mauresmo_0014.jpg  223       -        2300.51
                Amelie_Mauresmo_0015.jpg  223     121        2494.57
                Amelie_Mauresmo_0016.jpg  223       -        2535.39
                Amelie_Mauresmo_0017.jpg  223     290        2082.09
                Amelie_Mauresmo_0018.jpg  223     290        3779.71
                Amelie_Mauresmo_0019.jpg  223     272        2553.09
                Amelie_Mauresmo_0020.jpg  223       -        2360.68
                   Andre_Agassi_0009.jpg  272       -        2570.81
                   Andre_Agassi_0010.jpg  272       -        1922.98
                   Andre_Agassi_0011.jpg  272     386        2064.18
                   Andre_Agassi_0012.jpg  272     417        2659.14
                   Andre_Agassi_0013.jpg  272     317        2479.55
                   Andre_Agassi_0014.jpg  272       -        2453.28
                   Andre_Agassi_0015.jpg  272       -        2032.97
                   Andre_Agassi_0016.jpg  272       -        2365.58
                   Andre_Agassi_0017.jpg  272       -        2599.14
                   Andre_Agassi_0018.jpg  272     121         2207.3
                   Andre_Agassi_0019.jpg  272     386        2710.66
                   Andre_Agassi_0020.jpg  272     544        2519.84
                   Andy_Roddick_0009.jpg  290     317        3896.32
                   Andy_Roddick_0011.jpg  290     272        2204.75
                   Andy_Roddick_0012.jpg  290       -        2247.73
                   Andy_Roddick_0013.jpg  290     121        1545.17
                   Andy_Roddick_0014.jpg  290     317        2925.12
                   Andy_Roddick_0015.jpg  290       -        2442.45
                 Angelina_Jolie_0009.jpg  302     417        2192.68
                 Angelina_Jolie_0010.jpg  302     706        2787.75
                 Angelina_Jolie_0011.jpg  302     272        3986.16
                 Angelina_Jolie_0012.jpg  302       -        2414.63
                 Angelina_Jolie_0013.jpg  302     417        2385.44
                 Angelina_Jolie_0014.jpg  302       -        2579.11
                 Angelina_Jolie_0015.jpg  302       -        2903.42
                 Angelina_Jolie_0016.jpg  302     317        1988.43
                 Angelina_Jolie_0017.jpg  302     562        2385.33
                 Angelina_Jolie_0018.jpg  302     573        2240.42
                 Angelina_Jolie_0019.jpg  302     544        2174.41
                 Angelina_Jolie_0020.jpg  302     544        2018.71
                Anna_Kournikova_0009.jpg  317     386        4097.72
                Anna_Kournikova_0010.jpg  317     544        2055.58
                Anna_Kournikova_0011.jpg  317     386         3592.1
                Anna_Kournikova_0012.jpg  317     706        2099.71
                    Ann_Veneman_0009.jpg  335       -        2299.59
                    Ann_Veneman_0010.jpg  335     562        3353.84
                    Ann_Veneman_0011.jpg  335     302        2034.58
                   Ariel_Sharon_0009.jpg  370     544        2345.71
                   Ariel_Sharon_0010.jpg  370     121         2093.1
                   Ariel_Sharon_0011.jpg  370     302        2118.64
                   Ariel_Sharon_0012.jpg  370     573        2435.43
                   Ariel_Sharon_0013.jpg  370       -        2047.26
                   Ariel_Sharon_0014.jpg  370       -        1739.47
                   Ariel_Sharon_0015.jpg  370     121           1805
                   Ariel_Sharon_0016.jpg  370       -        1769.79
                   Ariel_Sharon_0017.jpg  370     417        2520.09
                   Ariel_Sharon_0018.jpg  370     417        2332.04
                   Ariel_Sharon_0019.jpg  370     573        1695.36
                   Ariel_Sharon_0020.jpg  370     121        1812.83
                  Ari_Fleischer_0009.jpg  374     573        1695.73
